t,银行业,证券业,保险业,多元金融,房地产
2009w1,0.031708,0.016048,-0.01905,-0.261897,-0.044299
2009w2,0.023863,0.029358,0.07902,0.042111,0.05949
2009w3,0.012733,0.025222,0.036538,0.037528,0.008685
2009w4,0.065735,0.046553,0.056468,0.045616,0.035861
2009w7,0.045771,0.069502,0.071076,0.145038,0.138295
2009w8,0.00412,0.00964,-0.000837,0.03422,-0.016147
2009w9,-0.020171,-0.041963,-0.047815,-0.019813,-0.02063
2009w10,0.017846,-0.016896,-0.02966,-0.026024,0.009943
2009w11,-0.000158,-0.005077,0.015842,-0.020966,0.004896
2009w12,0.034167,0.029651,0.053813,0.065948,0.075115
2009w13,0.031477,0.029402,0.050271,0.030996,0.056119
2009w14,0.102408,0.013582,0.055074,-0.002023,0.045547
2009w15,0.001667,-0.010411,0.021826,-0.016968,-0.001963
2009w16,0.016019,0.036285,0.050902,0.046199,0.043512
2009w17,-0.021335,-0.021331,-0.028411,0.003706,-0.010498
2009w18,-0.007222,-0.033327,-0.045711,-0.03323,-0.01335
2009w19,0.060441,0.034743,0.071971,0.06599,0.141564
2009w20,0.026539,0.008571,-0.005361,-0.012045,0.076239
2009w21,-0.010358,0.002293,0.006872,0.002442,-0.001575
2009w22,-0.010247,0.003685,-0.015707,-0.004223,-0.023248
2009w23,0.074545,0.046498,0.068647,0.022705,0.078725
2009w24,0.039783,0.019056,0.032146,0.009839,0.02678
2009w25,0.053685,0.017098,-0.013238,0.014773,0.034168
2009w26,0.052481,0.008938,0.041182,0.005644,0.031506
2009w27,0.007614,0.139412,0.122099,-0.033148,0.107782
2009w28,0.000264,0.057473,0.040479,0.037344,0.032556
2009w29,-0.002088,0.007322,0.070248,0.056028,0.051234
2009w30,0.02526,0.023835,0.052786,0.003457,0.022085
2009w31,0.029011,0.01967,-0.001674,0.011885,-0.024614
2009w32,-0.012357,-0.00038,-0.024335,0.01247,-0.048363
2009w33,-0.058768,-0.034455,-0.077628,-0.028391,-0.025771
2009w34,-0.06223,-0.070637,-0.08059,-0.117775,-0.090602
2009w35,-0.028642,-0.003348,-0.009787,0.03585,-0.009075
2009w36,-0.037163,-0.054008,-0.053143,-0.047285,-0.057754
2009w37,0.066683,0.053545,0.078192,0.067177,0.105765
2009w38,0.022949,0.036076,0.047628,0.062416,0.048139
2009w39,-0.039232,-0.034454,-0.044381,-0.039674,-0.088301
2009w40,-0.008793,-0.051162,-0.121534,-0.931843,0.000634
2009w41,0.053085,0.039093,0.058122,0.028211,0.059158
2009w42,0.009701,0.008694,0.022863,0.022654,0.035068
2009w43,0.035399,0.049737,0.044835,0.040094,0.098758
2009w44,-0.011568,-0.018834,-0.000488,-0.025768,-0.037945
2009w45,0.038229,0.030429,0.052406,0.048063,0.01259
2009w46,-0.00221,0.022832,0.008459,0.036201,0.029299
2009w47,0.031725,0.002408,0.020972,0.058273,0.03949
2009w48,-0.030833,0.000575,-0.037922,0.01228,-0.009058
2009w49,-0.001271,0.019977,0.003946,0.047636,0.00096
2009w50,0.020398,0.015821,0.029027,0.013564,0.008914
2009w51,0.012735,-0.027155,-0.03991,-0.034824,-0.074815
2009w52,-0.037698,-0.023614,-0.041213,-0.033168,-0.078264
2010w1,0.042948,0.441531,0.064532,0.084807,0.076128
2010w2,-0.009935,0.032782,0.002124,0.019306,-0.027993
2010w3,-0.039318,0.014139,-0.008608,0.029284,-0.020492
2010w4,-0.01077,-0.0278,-0.008888,0.095894,0.01227
2010w5,-0.019798,-0.045353,-0.036383,-0.060131,-0.061082
2010w6,-0.02109,-0.019692,0.0162,-0.040848,-0.003114
2010w7,0.003726,1.43146,0.027963,-0.008813,-0.0086
2010w10,0.022334,-0.000598,0.050337,0.031644,0.024164
2010w11,0.005115,0.012387,0.0212,-0.001153,0.008688
2010w12,-0.00316,0.006082,0.0015,-0.006258,0.011862
2010w13,0.007583,-0.008278,0.012705,0.019101,0.011682
2010w14,0.043833,-0.0566,0.101751,1.5192,0.086846
2010w15,-0.009969,-0.006398,0.015149,0.014252,-0.022272
2010w16,-0.013432,-0.003194,0.005381,0.003577,-0.051936
2010w17,-0.074749,-0.077906,-0.014344,-0.050442,-0.118957
2010w18,-0.022656,-0.056351,-0.051306,-0.018275,-0.031907
